basin,horizon,persistence_NSE,routing_NSE,xgboost_NSE,lstm_attention_NSE,attn_minus_routing,ablation_delta
potomac,1,0.7867380401224399,0.860607554295459,0.9112442578719168,0.9302540937813809,0.06964653948592192,0.01969190849716429
potomac,3,0.16426558379212797,0.37955939293722174,0.4631976711695871,0.4264472875122963,0.046887894575074585,0.09082337590666578
potomac,7,-0.39336700118011425,0.07195966105725238,0.07673451198944292,0.2179440182135598,0.14598435715630742,0.2847191868828226
james,1,0.7734199966271613,0.919520233678485,0.9393926766838766,0.9327743082951847,0.013254074616699696,0.129417437329848
james,3,0.2927675689881549,0.43496114835028876,0.4963521085205933,0.39173223609187846,-0.0432289122584103,0.08950484364480005
james,7,-0.05203945913957919,0.23484875563348273,0.2922993259615122,0.30922700134761394,0.07437824571413121,0.01127170329092786
