basin,horizon,persistence_NSE,routing_NSE,xgboost_NSE,lstm_attention_NSE,attn_minus_routing,ablation_delta,climate
potomac,1,0.7867380401224399,0.860607554295459,0.9112442578719168,0.9302540937813809,0.06964653948592192,0.01969190849716429,humid_mid_atlantic
potomac,3,0.16426558379212797,0.37955939293722174,0.4631976711695871,0.4264472875122963,0.046887894575074585,0.09082337590666578,humid_mid_atlantic
potomac,7,-0.39336700118011425,0.07195966105725238,0.07673451198944292,0.2179440182135598,0.14598435715630742,0.2847191868828226,humid_mid_atlantic
james,1,0.7734199966271613,0.919520233678485,0.9393926766838766,0.9327743082951847,0.013254074616699696,0.129417437329848,humid_mid_atlantic
james,3,0.2927675689881549,0.43496114835028876,0.4963521085205933,0.39173223609187846,-0.0432289122584103,0.08950484364480005,humid_mid_atlantic
james,7,-0.05203945913957919,0.23484875563348273,0.2922993259615122,0.30922700134761394,0.07437824571413121,0.01127170329092786,humid_mid_atlantic
willamette,1,0.9502847352439849,0.9696112549317852,0.9856877619969284,0.9898466741908799,0.020235419259094667,0.0034911115942434234,humid_pacific_nw
willamette,3,0.729689674106935,0.7711973537414277,0.8039631064379593,0.7536027001659523,-0.017594653575475405,-0.03637763583498799,humid_pacific_nw
willamette,7,0.4178790556524098,0.5102608139829903,0.49894488956241034,0.3609545727265405,-0.14930624125644976,-0.11284489564620526,humid_pacific_nw
animas,1,0.9774519061276994,0.980144066381283,0.9850186285262547,0.9881142676381939,0.007970201256910836,0.009796931910539763,snowmelt_rockies
animas,3,0.8952744731521234,0.9039807346112154,0.9110516258503973,0.85570929983586,-0.04827143477535545,-0.02480027831641074,snowmelt_rockies
animas,7,0.811639363632866,0.848058781144336,0.8492623315951342,0.8145860218287154,-0.03347275931562055,0.0457257260880618,snowmelt_rockies
verde,1,0.4214616132761393,0.6052790294240207,0.6642920202554992,0.38450152144412175,-0.22077750797989892,0.06075758500800332,semiarid_southwest
verde,3,-0.19600281831001953,0.24526282516343834,-0.12336432974759037,0.12950274350323987,-0.11576008166019847,0.060242132164564755,semiarid_southwest
verde,7,-0.12990289219015105,0.18841421349952525,-0.11104692086160406,0.07661770819256164,-0.11179650530696361,-0.04496688392018011,semiarid_southwest
