horizon,routing_CSI,xgb_CSI,attn_CSI,pers_CSI,attn_POD,attn_FAR
1,0.6222222222222084,0.7446808510638139,0.7499999999999829,0.5599999999999887,0.8461538461538244,0.13157894736841758
3,0.199999999999996,0.33333333333332804,0.2884615384615329,0.16176470588235056,0.38461538461537476,0.46428571428569776
7,0.03846153846153772,0.07999999999999893,0.2599999999999948,0.06410256410256329,0.33333333333332477,0.4583333333333143
