horizon,attn_obs_NSE,attn_oracle_NSE,delta_NSE
1,0.9315756477822503,0.9305864402961238,-0.0009892074861265199
3,0.44362136460207013,0.5648383495209737,0.12121698491890354
7,0.21752056059425662,0.41369501636110806,0.19617445576685144
