horizon_d,model,NSE,KGE,RMSE_cfs,MAE_cfs,PBIAS_pct,NSE_low,NSE_high,peak_abs_rel_err_pct,peak_timing_abs_days
1,Persistence,0.7867380401224399,0.8934349075103079,4225.91844337102,1414.8856635621569,0.10499129400445352,0.8613866863007703,0.6191691631437894,1.08991340940705e-06,1.0
1,XGBoost,0.910278326376242,0.9375430494896122,2741.0256291825312,1046.3348666764352,3.4153109420034573,0.6952983532476673,0.8480505936191541,19.32457078144986,0.625
1,LSTM,0.9225728742403252,0.9165385819271545,2546.3082791367783,927.6500211752344,-0.07447520292288558,0.700933052259341,0.8688273389706287,20.15914457323806,0.5
1,LSTM-Attention,0.9314205759197195,0.9183472146716172,2396.4111416015794,1131.4074013475313,4.028453036542674,0.4239782842741776,0.8884256555250656,20.04243776522731,0.25
3,Persistence,0.16426558379212797,0.5839075628642247,8365.628158136926,3296.003664119682,0.49905021469289373,0.27357531240921684,-0.48284013450467844,1.08991340940705e-06,3.0
3,XGBoost,0.45820986448882084,0.632682974773191,6735.6569461166355,3359.982994589147,14.890089115178634,-2.78248799828605,0.14926548557719665,30.055342559789544,2.125
3,LSTM,0.542831521108646,0.66217709348499,6187.31964250025,2911.2204977386277,8.672800835973483,-0.9864385560971198,0.24432336549869027,31.14032199803141,1.375
3,LSTM-Attention,0.47855072267552523,0.6029220175425616,6608.00629763305,3565.838481208543,15.694782275443607,-4.49916091486936,0.1800402245235022,38.16904046683547,1.25
7,Persistence,-0.39336700118011425,0.3420805096256825,10801.825914066316,4878.6404427321595,2.8869126115897727,-1.6736250670426775,-1.3577923990746021,67.47665475852197,3.875
7,XGBoost,0.07100510393051152,0.37237809471911154,8820.050611889708,5409.003858896101,28.197458427729877,-10.283263655424172,-0.2801905901169066,55.50299042134564,3.5
7,LSTM,0.14069571462951147,0.3974497314689097,8482.774107221076,4983.997608739743,19.006494521076515,-3.0157300629550976,-0.300556201129492,60.78243540602564,5.0
7,LSTM-Attention,0.19603423262441177,0.3856775580366707,8205.087027314628,5111.106764169538,24.224101858527188,-12.403819445234753,-0.11375027114072545,69.48858213160118,3.625
